,Date,Sahara_Temp
1,1920,40.6
2,1920,40.8
3,1920,44.4
4,1920,46.7
5,1920,54.1
6,1920,58.5
7,1921,57.7
8,1921,56.4
9,1921,54.3
10,1921,50.5
11,1921,42.9
12,1921,39.8
13,1921,44.2
14,1921,39.8
15,1921,45.1
16,1921,47
17,1921,54.1
18,1921,58.7
19,1922,66.3
20,1922,59.9
21,1922,57
22,1922,54.2
23,1922,39.7
24,1922,42.8
25,1922,37.5
26,1922,38.7
27,1922,39.5
28,1922,42.1
29,1922,55.7
30,1922,57.8
31,1923,56.8
32,1923,54.3
33,1923,54.3
34,1923,47.1
35,1923,41.8
36,1923,41.7
37,1923,41.8
38,1923,40.1
39,1923,42.9
40,1923,45.8
41,1923,49.2
42,1923,52.7
43,1924,64.2
44,1924,59.6
45,1924,54.4
46,1924,49.2
47,1924,36.3
48,1924,37.6
49,1924,39.3
50,1924,37.5
51,1924,38.3
52,1924,45.5
53,1924,53.2
54,1924,57.7
55,1925,60.8
56,1925,58.2
57,1925,56.4
58,1925,49.8
59,1925,44.4
60,1925,43.6
61,1925,40
62,1925,40.5
63,1925,40.8
64,1925,45.1
65,1925,53.8
66,1925,59.4
67,1926,63.5
68,1926,61
69,1926,53
70,1926,50
71,1926,38.1
72,1926,36.3
73,1926,39.2
74,1926,43.4
75,1926,43.4
76,1926,48.9
77,1926,50.6
78,1926,56.8
79,1927,62.5
80,1927,62
81,1927,57.5
82,1927,46.7
83,1927,41.6
84,1927,39.8
85,1927,39.4
86,1927,38.5
87,1927,45.3
88,1927,47.1
89,1927,51.7
90,1927,55
91,1928,60.4
92,1928,60.5
93,1928,54.7
94,1928,50.3
95,1928,42.3
96,1928,35.2
97,1928,40.8
98,1928,41.1
99,1928,42.8
100,1928,47.3
101,1928,50.9
102,1928,56.4
103,1929,62.2
104,1929,60.5
105,1929,55.4
106,1929,50.2
107,1929,43
108,1929,37.3
109,1929,34.8
110,1929,31.3
111,1929,41
112,1929,43.9
113,1929,53.1
114,1929,56.9
115,1930,62.5
116,1930,60.3
117,1930,59.8
118,1930,49.2
119,1930,42.9
120,1930,41.9
121,1930,41.6
122,1930,37.1
123,1930,41.2
124,1930,46.9
125,1930,51.2
126,1930,60.4
127,1931,60.1
128,1931,61.6
129,1931,57
130,1931,50.9
131,1931,43
132,1931,38.8
133,1931,37.1
134,1931,38.4
135,1931,38.4
136,1931,46.5
137,1931,53.5
138,1931,58.4
139,1932,60.6
140,1932,58.2
141,1932,53.8
142,1932,46.6
143,1932,45.5
144,1932,40.6
145,1932,42.4
146,1932,38.4
147,1932,40.3
148,1932,44.6
149,1932,50.9
150,1932,57
151,1933,62.1
152,1933,63.5
153,1933,56.3
154,1933,47.3
155,1933,43.6
156,1933,41.8
157,1933,36.2
158,1933,39.3
159,1933,44.5
160,1933,48.7
161,1933,54.2
162,1933,60.8
163,1934,65.5
164,1934,64.9
165,1934,60.1
166,1934,50.2
167,1934,42.1
168,1934,35.8
169,1934,39.4
170,1934,38.2
171,1934,40.4
172,1934,46.9
173,1934,53.4
174,1934,59.6
175,1935,66.5
176,1935,60.4
177,1935,59.2
178,1935,51.2
179,1935,42.8
180,1935,45.8
181,1935,40
182,1935,42.6
183,1935,43.5
184,1935,47.1
185,1935,50
186,1935,60.5
187,1936,64.6
188,1936,64
189,1936,56.8
190,1936,48.6
191,1936,44.2
192,1936,36.4
193,1936,37.3
194,1936,35
195,1936,44
196,1936,43.9
197,1936,52.7
198,1936,58.6
199,1937,60
200,1937,61.1
201,1937,58.1
202,1937,49.6
203,1937,41.6
204,1937,41.3
205,1937,40.8
206,1937,41
207,1937,38.4
208,1937,47.4
209,1937,54.1
210,1937,58.6
211,1938,61.4
212,1938,61.8
213,1938,56.3
214,1938,50.9
215,1938,41.4
216,1938,37.1
217,1938,42.1
218,1938,41.2
219,1938,47.3
220,1938,46.6
221,1938,52.4
222,1938,59
223,1939,59.6
224,1939,60.4
225,1939,57
226,1939,50.7
227,1939,47.8
228,1939,39.2
229,1939,39.4
230,1939,40.9
231,1939,42.4
232,1939,47.8
233,1939,52.4
234,1939,58
235,1940,60.7
236,1940,61.8
237,1940,58.2
238,1940,46.7
239,1940,46.6
240,1940,37.8
